Title,Year,imdbID,tmdbID,WatchedDate
Maquia: When the Promised Flower Blooms,2018,tt7339826,476292,2021-10-04T14:15:24.000Z
Dead Leaves,2004,tt0439533,15981,2022-07-01T11:13:52.000Z
Doctor Strange in the Multiverse of Madness,2022,tt9419884,453395,2022-06-24T07:46:23.000Z
Cowboy Bebop: Don't Bother None,2012,tt3008342,525191,2022-02-27T09:47:29.000Z
Saga of Tanya the Evil: The Movie,2019,tt9507276,553839,2021-10-15T10:31:44.000Z
Shang-Chi and the Legend of the Ten Rings,2021,tt9376612,566525,2021-12-09T20:29:42.000Z
Encanto,2021,tt2953050,568124,2022-02-11T05:37:14.000Z
Rascal Does Not Dream of a Dreaming Girl,2019,tt10472884,572154,2022-03-20T09:58:45.000Z
Spider-Man: No Way Home,2021,tt10872600,634649,2022-03-28T03:37:28.000Z
"Josee, the Tiger and the Fish",2020,tt12879624,652837,2022-07-02T12:57:34.000Z
Kakushigoto Theatrical Edition,2021,tt14402928,814662,2022-03-19T04:13:08.000Z
Star Wars,1977,tt0076759,11,2020-09-03T19:21:45.000Z
Forrest Gump,1994,tt0109830,13,2021-11-11T12:23:38.000Z
Pirates of the Caribbean: The Curse of the Black Pearl,2003,tt0325980,22,2021-01-12T21:08:48.000Z
Charlie and the Chocolate Factory,2005,tt0367594,118,2021-11-11T12:23:03.000Z
Spirited Away,2001,tt0245429,129,2020-07-09T20:31:21.000Z
Groundhog Day,1993,tt0107048,137,2021-09-13T14:06:44.000Z
Akira,1988,tt0094625,149,2021-12-13T05:14:34.000Z
The Dark Knight,2008,tt0468569,155,2020-09-25T06:26:08.000Z
Batman Begins,2005,tt0372784,272,2021-11-11T12:23:41.000Z
Pirates of the Caribbean: At World's End,2007,tt0449088,285,2021-11-11T12:24:18.000Z
Spider-Man,2002,tt0145487,557,2021-11-11T12:24:10.000Z
The Matrix,1999,tt0133093,603,2022-01-02T05:17:28.000Z
Final Fantasy VII: Advent Children,2005,tt0385700,647,2020-12-08T21:29:34.000Z
Harry Potter and the Chamber of Secrets,2002,tt0295297,672,2021-11-11T12:22:48.000Z
Harry Potter and the Prisoner of Azkaban,2004,tt0304141,673,2021-11-11T12:22:52.000Z
Harry Potter and the Goblet of Fire,2005,tt0330373,674,2021-11-11T12:22:52.000Z
Harry Potter and the Order of the Phoenix,2007,tt0373889,675,2021-11-11T12:23:51.000Z
Pulp Fiction,1994,tt0110912,680,2021-11-11T12:23:38.000Z
Harry Potter and the Half-Blood Prince,2009,tt0417741,767,2021-11-11T12:23:49.000Z
Shrek 2,2004,tt0298148,809,2021-11-11T12:24:22.000Z
Jin-Roh: The Wolf Brigade,1999,tt0193253,823,2020-07-09T20:32:02.000Z
Who Framed Roger Rabbit,1988,tt0096438,856,2021-11-11T12:25:18.000Z
Toy Story 2,1999,tt0120363,863,2021-11-11T12:23:57.000Z
Cars,2006,tt0317219,920,2021-11-11T12:22:54.000Z
Madagascar,2005,tt0351283,953,2021-11-11T12:23:05.000Z
Bill & Ted's Excellent Adventure,1989,tt0096928,1648,2020-07-09T20:38:59.000Z
Bill & Ted's Bogus Journey,1991,tt0101452,1649,2020-11-16T00:20:07.000Z
Iron Man,2008,tt0371746,1726,2020-11-16T00:20:31.000Z
Captain America: The First Avenger,2011,tt0458339,1771,2020-11-16T00:20:09.000Z
